ImageNumber,ObjectNumber,Intensity_MeanIntensity_BGS_mt,Intensity_MeanIntensity_BGS_other,Number_Object_Number
2,194,0.010364551266439556,0.002231289326025728,194
2,195,0.007125284742106222,0.0021324727260137507,195
2,196,0.009124117656977663,0.002398026417721402,196
2,197,0.0072857174258667175,0.0023364423625664085,197
2,198,0.015078338418165983,0.0054629406063081325,198
2,199,0.02363079598171305,0.005083600342305524,199
2,200,0.010805603356191695,0.002184894293415449,200
2,201,0.005137480787570345,0.0021262414853221606,201
2,202,0.0063063433744052115,0.0021427286566176916,202
2,203,0.009675516214495476,0.0021544219870976537,203
2,204,0.005687625392848118,0.0021943354868245394,204
2,205,0.007665914678344836,0.002234950640152298,205
2,206,0.006269522133673684,0.002125001138258444,206
2,207,0.0066176515388848495,0.0021984902933680126,207
2,208,0.009436945832621689,0.002131966959258594,208
2,209,0.009614930732362864,0.002239214251125365,209
2,210,0.0060767248558140936,0.0021861578325503197,210
2,211,0.007722750537657914,0.0023508328842613804,211
2,212,0.01175365972588675,0.0025869990598779372,212
2,213,0.019360046878606013,0.004012995010381713,213
2,214,0.0057872676006952214,0.0020565454077051395,214
2,215,0.009000424825318043,0.002175169314298235,215
2,216,0.010976387467490443,0.0021723768191518338,216
2,217,0.006304185029513906,0.002191315741610099,217
2,218,0.007966821511454591,0.002237936660495153,218
2,219,0.005621857684469078,0.0020603434191479816,219
2,220,0.012114291457489582,0.0021977056529929708,220
2,221,0.006506710375533074,0.002291133464203435,221
2,222,0.005578986591804913,0.0020770698601518807,222
2,223,0.006774381791111398,0.002386524730410864,223
2,224,0.006520344294546531,0.0022432037881887643,224
2,225,0.006717372679060793,0.0022901585347342335,225
2,226,0.006269198841652558,0.0022377544481163936,226
2,227,0.008031135290536708,0.0021489222094518276,227
2,228,0.00524339482037708,0.00197005081611375,228
2,229,0.005235310612273037,0.002090146607508962,229
2,230,0.010841588968975614,0.002139895979689612,230
2,231,0.012951707158120065,0.002125287773629903,231
2,232,0.006656733835788286,0.0023326233310156015,232
3,1,0.016512415447911648,0.002455016331914665,1
3,2,0.023026791184038057,0.0022111057772490265,2
3,3,0.00958304340033865,0.0024839553881472534,3
3,4,0.01033291684179631,0.0021847724667467894,4
3,5,0.021570739468156373,0.0022058352164974725,5
3,6,0.01243295691834361,0.0022270390063104236,6
3,7,0.008276319315464737,0.0022677857880322796,7
3,8,0.009355911420830643,0.0022983988247354237,8
3,9,0.009871720768112413,0.0030019771831284853,9
3,10,0.006216592096163395,0.0021521900914309696,10
3,11,0.005801687250931752,0.002057252415501778,11
3,12,0.005531197782300395,0.0021115387430847335,12
3,13,0.013880381928556788,0.002367480273972367,13
3,14,0.010302678369570207,0.002447309907856447,14
3,15,0.014287767025186932,0.0024092201445336152,15
3,16,0.007359322332761882,0.002116725931447749,16
3,17,0.006322741804041845,0.0021973501923767957,17
3,18,0.006498660288600213,0.002178436377143735,18
3,19,0.021527554300747206,0.0029702655835204517,19
3,20,0.007134860086720116,0.0023432637833482512,20
3,21,0.007917050231571075,0.002390603236594575,21
3,22,0.02447755937168313,0.003497697133778265,22
3,23,0.005672904716447119,0.0020892666978526795,23
3,24,0.00637919590351401,0.0020982803835150696,24
3,25,0.008341055658048957,0.002610813838253088,25
3,26,0.009735998087773222,0.0028544203449630333,26
3,27,0.02277165394969185,0.0027638202215896418,27
3,28,0.008556962915445353,0.002378325349789678,28
3,29,0.022801365853908767,0.004822789924309952,29
3,30,0.008363690471187943,0.0025636246196481124,30
3,31,0.008386036213615625,0.0027321029022470654,31
3,32,0.04225357497036257,0.0030982244664902476,32
3,33,0.006548715061412924,0.0022184194529308496,33
3,34,0.006989057947307491,0.0024610276280370917,34
3,35,0.007466146289189431,0.0022232887159063137,35
3,36,0.0055750793226749034,0.0021444561148633344,36
3,37,0.006874913698343258,0.0023204720353483367,37
3,38,0.008712576216857285,0.0026169209478141883,38
3,39,0.005951261287112774,0.002040367311307818,39
3,40,0.020508111304476755,0.0032464218741289105,40
3,41,0.0068114539413258865,0.002302545772519071,41
3,42,0.022874485094812283,0.00233898004300065,42
3,43,0.021553763599778893,0.0040551054236155765,43
3,44,0.00619522302584784,0.0022078255840981653,44
3,45,0.007084601044377814,0.002424250080571906,45
3,46,0.007000112587836119,0.0022676467356855653,46
3,47,0.006380002404850309,0.002293396155272971,47
3,48,0.011885782686289086,0.0027334314168107623,48
3,49,0.006637349116588839,0.0023030721382615335,49
3,50,0.00810644168563089,0.0021935429124500328,50
3,51,0.006665179663706074,0.0022157724754862163,51
3,52,0.029321000755025552,0.003013549012718144,52
3,53,0.024225123769618266,0.005629306115830938,53
3,54,0.008533757546904814,0.0022363593708650104,54
3,55,0.03276657906983198,0.008966932807632317,55
